Date,Open,High,Low,Close,Adj Close,Volume
2018-11-26,2400.000000,2411.899902,2346.949951,2394.600098,2352.206543,1391434
2018-11-27,2395.000000,2439.899902,2375.000000,2435.449951,2392.333252,1594955
2018-11-28,2445.949951,2449.000000,2396.250000,2412.550049,2369.838623,1396260
2018-11-29,2435.000000,2517.600098,2416.850098,2506.500000,2462.125488,2861284
2018-11-30,2538.000000,2564.399902,2507.050049,2537.699951,2492.773193,2737341
2018-12-03,2548.000000,2555.550049,2490.750000,2508.649902,2464.237549,1115592
2018-12-04,2509.000000,2549.000000,2495.000000,2543.550049,2498.519775,1329587
2018-12-05,2539.899902,2539.899902,2470.300049,2494.100098,2449.944824,1327031
2018-12-06,2481.000000,2494.000000,2418.000000,2432.399902,2389.337402,1317472
2018-12-07,2443.000000,2497.750000,2414.649902,2486.350098,2442.332275,1478720
2018-12-10,2410.449951,2443.899902,2382.350098,2395.550049,2353.139893,1399894
2018-12-11,2360.000000,2446.500000,2332.100098,2426.750000,2383.787354,2189278
2018-12-12,2445.000000,2514.899902,2434.350098,2493.949951,2449.797852,1683197
2018-12-13,2510.199951,2528.949951,2475.000000,2489.100098,2445.033691,1713161
2018-12-14,2488.250000,2512.000000,2464.250000,2486.350098,2442.332275,1204379
2018-12-17,2498.600098,2509.899902,2466.250000,2474.399902,2430.593506,1019602
2018-12-18,2469.699951,2538.199951,2446.600098,2532.199951,2487.370361,1653107
2018-12-19,2550.800049,2629.100098,2550.149902,2596.899902,2550.924805,2946314
2018-12-20,2560.000000,2609.899902,2531.600098,2591.399902,2545.522461,1467028
2018-12-21,2615.000000,2623.899902,2532.699951,2591.250000,2545.375000,3042464
2018-12-24,2594.000000,2604.850098,2553.000000,2564.899902,2519.491455,1050017
2018-12-26,2560.000000,2582.949951,2503.699951,2567.399902,2521.947510,1662068
2018-12-27,2598.850098,2626.750000,2570.000000,2587.149902,2541.347656,1626301
2018-12-28,2603.000000,2643.800049,2585.949951,2634.800049,2588.154053,1901581
2018-12-31,2656.949951,2666.300049,2635.600098,2645.149902,2598.320801,1453327
2019-01-01,2645.000000,2664.000000,2612.100098,2656.850098,2609.813721,917872
2019-01-02,2635.100098,2662.000000,2601.899902,2614.050049,2567.771729,1304915
2019-01-03,2612.000000,2648.000000,2575.300049,2586.199951,2540.414307,1282478
2019-01-04,2601.000000,2611.899902,2563.649902,2576.050049,2530.444336,1051021
2019-01-07,2601.000000,2605.000000,2545.350098,2553.600098,2508.391602,1024328
2019-01-08,2560.000000,2582.000000,2525.050049,2537.050049,2492.134766,1233379
2019-01-09,2546.000000,2559.800049,2510.000000,2524.350098,2479.659668,1093992
2019-01-10,2526.000000,2542.449951,2504.699951,2514.649902,2470.131104,910839
2019-01-11,2516.000000,2530.000000,2488.000000,2514.199951,2469.689209,818218
2019-01-14,2515.949951,2552.899902,2484.149902,2544.800049,2499.747314,1021504
2019-01-15,2551.000000,2613.000000,2551.000000,2604.199951,2558.095947,1466303
2019-01-16,2598.399902,2612.149902,2562.800049,2569.850098,2524.354248,952597
2019-01-17,2574.000000,2586.550049,2527.050049,2535.899902,2491.005127,994183
2019-01-18,2545.000000,2555.000000,2525.100098,2542.899902,2497.880615,753775
2019-01-21,2548.000000,2606.000000,2526.600098,2594.199951,2548.272949,1332159
2019-01-22,2585.000000,2635.000000,2575.000000,2621.899902,2575.482178,1474713
2019-01-23,2619.000000,2653.000000,2611.000000,2634.350098,2587.711914,992504
2019-01-24,2639.000000,2653.500000,2603.100098,2635.649902,2588.989014,753856
2019-01-25,2649.000000,2661.000000,2585.000000,2599.550049,2553.528320,916927
2019-01-28,2610.000000,2610.000000,2355.000000,2458.500000,2414.975342,2364047
2019-01-29,2468.000000,2570.100098,2371.649902,2515.550049,2471.015381,6118833
2019-01-30,2580.000000,2623.699951,2546.000000,2595.500000,2549.549561,3879707
2019-01-31,2608.000000,2608.000000,2526.000000,2574.850098,2529.265381,2083418
2019-02-01,2575.000000,2687.899902,2575.000000,2628.399902,2581.867432,2117768
2019-02-04,2610.000000,2623.550049,2572.199951,2594.449951,2548.518555,942113
2019-02-05,2600.000000,2642.100098,2593.949951,2603.600098,2557.506592,1010817
2019-02-06,2619.000000,2720.000000,2612.100098,2711.250000,2663.250732,1798461
2019-02-07,2725.000000,2731.000000,2684.100098,2696.600098,2648.859863,1760580
2019-02-08,2670.000000,2737.449951,2670.000000,2707.149902,2659.222900,1510785
2019-02-11,2724.699951,2724.699951,2635.000000,2657.199951,2610.157227,1194702
2019-02-12,2668.000000,2677.149902,2616.300049,2621.800049,2575.384277,1200370
2019-02-14,2579.949951,2622.000000,2556.899902,2609.199951,2563.007080,1214126
2019-02-15,2610.000000,2610.000000,2506.000000,2561.100098,2515.758789,1640696
2019-02-18,2548.050049,2561.000000,2512.449951,2549.449951,2504.314697,1154520
