Entry_Date,Entry,Stop_Loss,Target,Seventh_Day_Close,Trade_Result,Profit_or_Loss_Amount,Total Trades,Profitable Trades,Loss Trades,Win Percentage
2018-04-16,494.75,495.70001220703125,492.8499755859375,503.5,Loss,8.75,1,0,1,0.0
2018-08-03,486.3999938964844,495.3999938964844,468.3999938964844,468.0,Profit,-18.399993896484375,2,1,1,50.0
2019-03-12,371.54998779296875,367.54998779296875,379.54998779296875,370.1000061035156,Profit,-1.449981689453125,3,2,1,66.66666666666666
2019-05-13,402.6499938964844,409.95001220703125,388.0499572753906,379.8999938964844,Profit,-22.75,4,3,1,75.0
2019-09-26,569.2999877929688,556.9000244140625,594.0999145507812,598.2000122070312,Profit,28.9000244140625,5,4,1,80.0
2020-03-18,419.45001220703125,465.0,328.35003662109375,342.29998779296875,Profit,-77.1500244140625,6,5,1,83.33333333333334
2020-04-07,470.5,436.8999938964844,537.7000122070312,477.79998779296875,Profit,7.29998779296875,7,6,1,85.71428571428571
2020-05-21,493.79998779296875,480.0,521.3999633789062,503.29998779296875,Profit,9.5,8,7,1,87.5
2020-07-27,633.4500122070312,624.5999755859375,651.1500854492188,635.0999755859375,Profit,1.64996337890625,9,8,1,88.88888888888889
2020-08-19,603.4500122070312,600.0,610.3500366210938,598.75,Loss,-4.70001220703125,10,8,2,80.0
2020-12-24,657.25,651.7000122070312,668.3499755859375,675.7000122070312,Profit,18.45001220703125,11,9,2,81.81818181818183
2021-05-25,659.1500244140625,673.7000122070312,630.050048828125,668.9500122070312,Loss,9.79998779296875,12,9,3,75.0
2021-11-12,720.5999755859375,708.8499755859375,744.0999755859375,711.0499877929688,Loss,-9.54998779296875,13,9,4,69.23076923076923
2022-11-22,539.9500122070312,533.7999877929688,552.2500610351562,586.5999755859375,Profit,46.64996337890625,14,10,4,71.42857142857143
2022-12-01,596.4500122070312,590.5999755859375,608.1500854492188,586.7999877929688,Loss,-9.6500244140625,15,10,5,66.66666666666666
2023-01-03,595.5999755859375,570.0,646.7999267578125,611.6500244140625,Profit,16.050048828125,16,11,5,68.75
2023-07-05,673.5999755859375,647.0,726.7999267578125,668.25,Loss,-5.3499755859375,17,11,6,64.70588235294117
2023-07-27,662.4500122070312,658.5999755859375,670.1500854492188,642.75,Loss,-19.70001220703125,18,11,7,61.111111111111114
