Entry_Date,Entry,Stop_Loss,Target,Seventh_Day_Close,Trade_Result,Profit_or_Loss_Amount,Total Trades,Profitable Trades,Loss Trades,Win Percentage
2018-08-29,3367.89990234375,3425.5,3252.69970703125,3282.925048828125,Profit,-84.974853515625,1,1,0,100.0
2019-01-08,3089.550048828125,3155.0,2958.650146484375,3096.85009765625,Loss,7.300048828125,2,1,1,50.0
2019-03-11,3133.449951171875,3086.0,3228.349853515625,3149.39990234375,Profit,15.949951171875,3,2,1,66.66666666666666
2019-12-18,3099.199951171875,3070.0,3157.599853515625,3091.800048828125,Loss,-7.39990234375,4,2,2,50.0
2019-12-26,3062.300048828125,3090.0,3006.900146484375,3027.800048828125,Profit,-34.5,5,3,2,60.0
2020-01-29,3214.199951171875,3200.0,3242.599853515625,3230.050048828125,Profit,15.85009765625,6,4,2,66.66666666666666
2020-09-25,3686.39990234375,3640.0,3779.19970703125,3798.14990234375,Profit,111.75,7,5,2,71.42857142857143
2020-10-09,3745.10009765625,3807.0,3621.30029296875,3789.800048828125,Loss,44.699951171875,8,5,3,62.5
2020-10-20,3553.14990234375,3681.0,3297.44970703125,3469.75,Profit,-83.39990234375,9,6,3,66.66666666666666
2020-12-10,3739.75,3627.10009765625,3965.0498046875,3765.550048828125,Profit,25.800048828125,10,7,3,70.0
2021-01-11,3612.85009765625,3603.800048828125,3630.9501953125,3665.449951171875,Profit,52.599853515625,11,8,3,72.72727272727273
2021-02-04,3580.0,3521.949951171875,3696.10009765625,3462.39990234375,Loss,-117.60009765625,12,8,4,66.66666666666666
2021-03-09,3426.75,3473.5,3333.25,3450.39990234375,Loss,23.64990234375,13,8,5,61.53846153846154
2021-08-16,3655.300048828125,3570.0,3825.900146484375,3895.949951171875,Profit,240.64990234375,14,9,5,64.28571428571429
2021-11-03,3629.85009765625,3695.0,3499.55029296875,3621.60009765625,Profit,-8.25,15,10,5,66.66666666666666
2021-11-15,3742.60009765625,3700.0,3827.80029296875,3571.60009765625,Loss,-171.0,16,10,6,62.5
2023-04-20,4256.39990234375,4295.0,4179.19970703125,4402.5498046875,Loss,146.14990234375,17,10,7,58.82352941176471
2023-06-07,4893.14990234375,4715.0,5249.44970703125,4900.25,Profit,7.10009765625,18,11,7,61.111111111111114
2023-10-30,4461.60009765625,4500.0,4384.80029296875,4527.25,Loss,65.64990234375,19,11,8,57.89473684210527
