Entry_Date,Entry,Stop_Loss,Target,Eighth_Day_Close,Trade_Result,Profit_or_Loss_Amount,Total Trades,Profitable Trades,Loss Trades,Win Percentage
2019-01-02,214.60000610351562,219.0,205.80001831054688,214.9499969482422,Loss,0.3499908447265625,1,0,1,0.0
2019-07-26,258.3500061035156,251.9499969482422,271.1500244140625,251.60000610351562,Loss,-6.75,2,0,2,0.0
2020-03-19,250.75,258.0,236.25,249.0500030517578,Profit,-1.6999969482421875,3,1,2,33.33333333333333
2020-08-13,539.0499877929688,520.0,577.1499633789062,545.75,Profit,6.70001220703125,4,2,2,50.0
2020-10-21,465.29998779296875,479.70001220703125,436.49993896484375,476.95001220703125,Loss,11.6500244140625,5,2,3,40.0
2022-10-10,757.1500244140625,769.25,732.9500732421875,757.4000244140625,Loss,0.25,6,2,4,33.33333333333333
