Entry_Date,Entry,Stop_Loss,Target,Eighth_Day_Close,Trade_Result,Profit_or_Loss_Amount,Total Trades,Profitable Trades,Loss Trades,Win Percentage
2019-05-16,1413.1500244140625,1396.9000244140625,1445.6500244140625,1487.9000244140625,Profit,74.75,1,1,0,100.0
2019-12-27,1685.5999755859375,1705.0,1646.7999267578125,1674.050048828125,Profit,-11.5499267578125,2,2,0,100.0
2021-07-06,1755.3499755859375,1729.0,1808.0499267578125,1720.050048828125,Loss,-35.2999267578125,3,2,1,66.66666666666666
2021-12-03,1914.199951171875,1966.699951171875,1809.199951171875,1920.449951171875,Loss,6.25,4,2,2,50.0
