Entry_Date,Entry,Stop_Loss,Target,Eighth_Day_Close,Trade_Result,Profit_or_Loss_Amount,Total Trades,Profitable Trades,Loss Trades,Win Percentage
2020-03-19,99.75,103.0,93.25,88.75,Profit,-11.0,1,1,0,100.0
2020-08-31,185.25,195.0,165.75,192.0,Loss,6.75,2,1,1,50.0
2021-04-23,349.5,354.04998779296875,340.4000244140625,362.6000061035156,Loss,13.100006103515625,3,1,2,33.33333333333333
2022-07-18,367.1000061035156,355.8999938964844,389.5000305175781,375.95001220703125,Profit,8.850006103515625,4,2,2,50.0
2023-03-31,405.3500061035156,404.04998779296875,407.9500427246094,405.25,Loss,-0.100006103515625,5,2,3,40.0
