Entry_Date,Entry,Stop_Loss,Target,Eighth_Day_Close,Trade_Result,Profit_or_Loss_Amount,Total Trades,Profitable Trades,Loss Trades,Win Percentage
2018-07-06,125.125,127.0,121.375,127.25,Loss,2.125,1,0,1,0.0
2019-07-05,136.5,142.8000030517578,123.89999389648438,129.0500030517578,Profit,-7.4499969482421875,2,1,1,50.0
2020-07-01,93.5999984741211,94.69999694824219,91.4000015258789,95.19999694824219,Loss,1.5999984741210938,3,1,2,33.33333333333333
2020-09-04,94.69999694824219,96.05000305175781,91.99998474121094,90.4000015258789,Profit,-4.299995422363281,4,2,2,50.0
2020-10-07,82.80000305175781,84.19999694824219,80.00001525878906,82.75,Profit,-0.0500030517578125,5,3,2,60.0
2023-06-30,189.14999389648438,188.10000610351562,191.24996948242188,193.39999389648438,Profit,4.25,6,4,2,66.66666666666666
