Entry_Date,Entry,Stop_Loss,Target,Eighth_Day_Close,Trade_Result,Profit_or_Loss_Amount,Total Trades,Profitable Trades,Loss Trades,Win Percentage
2018-07-05,3936.25,3797.0,4214.75,3959.800048828125,Profit,23.550048828125,1,1,0,100.0
2018-08-21,4350.2001953125,4305.0,4440.6005859375,4370.7998046875,Profit,20.599609375,2,2,0,100.0
2019-11-04,4238.7001953125,4172.0,4372.1005859375,4187.39990234375,Loss,-51.30029296875,3,2,1,66.66666666666666
2020-12-21,5007.85009765625,5155.0,4713.55029296875,5044.75,Loss,36.89990234375,4,2,2,50.0
2021-01-15,5452.25,5587.0,5182.75,5547.10009765625,Loss,94.85009765625,5,2,3,40.0
2021-06-11,6662.85009765625,6725.10009765625,6538.35009765625,6587.39990234375,Profit,-75.4501953125,6,3,3,50.0
2021-07-12,7093.75,6905.10009765625,7471.0498046875,7189.64990234375,Profit,95.89990234375,7,4,3,57.14285714285714
2021-08-27,7565.60009765625,7330.60009765625,8035.60009765625,7766.9501953125,Profit,201.35009765625,8,5,3,62.5
