Entry_Date,Entry,Stop_Loss,Target,Eighth_Day_Close,Trade_Result,Profit_or_Loss_Amount,Total Trades,Profitable Trades,Loss Trades,Win Percentage
2018-09-03,912.75,896.8499755859375,944.550048828125,867.1500244140625,Loss,-45.5999755859375,1,0,1,0.0
2020-12-28,1543.550048828125,1503.300048828125,1624.050048828125,1567.1500244140625,Profit,23.5999755859375,2,1,1,50.0
2021-09-15,2119.85009765625,2060.0,2239.55029296875,2077.35009765625,Loss,-42.5,3,1,2,33.33333333333333
2021-11-26,2292.300048828125,2377.800048828125,2121.300048828125,2360.199951171875,Loss,67.89990234375,4,1,3,25.0
2022-10-07,2730.5,2690.0,2811.5,2621.35009765625,Loss,-109.14990234375,5,1,4,20.0
