Entry_Date,Entry,Stop_Loss,Target,Eighth_Day_Close,Trade_Result,Profit_or_Loss_Amount,Total Trades,Profitable Trades,Loss Trades,Win Percentage
2018-03-12,297.6499938964844,305.3999938964844,282.1499938964844,295.5,Profit,-2.149993896484375,1,1,0,100.0
2019-10-03,186.75,193.0,174.25,185.35000610351562,Profit,-1.399993896484375,2,2,0,100.0
2020-03-19,123.55000305175781,128.0,114.65000915527344,127.8499984741211,Loss,4.299995422363281,3,2,1,66.66666666666666
2021-10-05,197.9499969482422,191.0,211.84999084472656,188.4499969482422,Loss,-9.5,4,2,2,50.0
