Entry_Date,Entry,Stop_Loss,Target,Eighth_Day_Close,Trade_Result,Profit_or_Loss_Amount,Total Trades,Profitable Trades,Loss Trades,Win Percentage
2019-08-20,125.05000305175781,126.5999984741211,121.95001220703125,122.25,Profit,-2.8000030517578125,1,1,0,100.0
2020-01-20,122.9000015258789,126.0,116.70000457763672,117.80000305175781,Profit,-5.099998474121094,2,2,0,100.0
2020-10-14,67.0,68.5,64.0,69.30000305175781,Loss,2.3000030517578125,3,2,1,66.66666666666666
2022-04-13,174.25,171.39999389648438,179.95001220703125,175.5,Profit,1.25,4,3,1,75.0
2023-06-30,160.3000030517578,161.0,158.90000915527344,162.8000030517578,Profit,2.5,5,4,1,80.0
2023-08-09,176.89999389648438,173.35000610351562,183.99996948242188,178.0,Profit,1.100006103515625,6,5,1,83.33333333333334
