Entry_Date,Entry,Stop_Loss,Target,Eighth_Day_Close,Trade_Result,Profit_or_Loss_Amount,Total Trades,Profitable Trades,Loss Trades,Win Percentage
2018-01-05,1698.199951171875,1645.0,1804.599853515625,1734.0999755859375,Profit,35.9000244140625,1,1,0,100.0
2019-05-30,1586.9000244140625,1608.5999755859375,1543.5001220703125,1638.0,Loss,51.0999755859375,2,1,1,50.0
2019-09-11,1372.1500244140625,1340.5999755859375,1435.2501220703125,1375.949951171875,Profit,3.7999267578125,3,2,1,66.66666666666666
2020-07-14,510.79998779296875,535.0,462.39996337890625,520.7999877929688,Loss,10.0,4,2,2,50.0
2021-04-19,832.0,829.9500122070312,836.0999755859375,850.0,Loss,18.0,5,2,3,40.0
2021-08-03,1022.0499877929688,987.0,1092.1499633789062,1029.5,Profit,7.45001220703125,6,3,3,50.0
2022-07-19,868.0999755859375,841.0,922.2999267578125,942.4500122070312,Profit,74.35003662109375,7,4,3,57.14285714285714
2022-09-07,1089.949951171875,1095.0,1079.849853515625,1136.8499755859375,Loss,46.9000244140625,8,4,4,50.0
2023-01-25,1156.1500244140625,1210.0,1048.4500732421875,1082.949951171875,Profit,-73.2000732421875,9,5,4,55.55555555555556
2023-03-01,1100.449951171875,1077.050048828125,1147.249755859375,1120.5999755859375,Profit,20.1500244140625,10,6,4,60.0
2023-10-13,1463.699951171875,1421.199951171875,1548.699951171875,1420.3499755859375,Loss,-43.3499755859375,11,6,5,54.54545454545454
