Entry_Date,Entry,Stop_Loss,Target,Eighth_Day_Close,Trade_Result,Profit_or_Loss_Amount,Total Trades,Profitable Trades,Loss Trades,Win Percentage
2018-07-06,634.9000244140625,649.7000122070312,605.300048828125,654.4000244140625,Loss,19.5,1,0,1,0.0
2019-03-05,810.0,822.5,785.0,811.3499755859375,Loss,1.3499755859375,2,0,2,0.0
2021-07-22,1148.5999755859375,1080.0,1285.7999267578125,1120.8499755859375,Loss,-27.75,3,0,3,0.0
2021-08-05,1248.199951171875,1217.050048828125,1310.499755859375,1323.050048828125,Profit,74.85009765625,4,1,3,25.0
2022-04-25,1270.4000244140625,1295.0,1221.2000732421875,1271.300048828125,Loss,0.9000244140625,5,1,4,20.0
2022-06-10,1109.8499755859375,1119.0,1091.5499267578125,1020.0499877929688,Profit,-89.79998779296875,6,2,4,33.33333333333333
2022-08-11,1077.25,1072.0,1087.75,1104.5,Profit,27.25,7,3,4,42.857142857142854
2023-04-21,998.75,1014.2999877929688,967.6500244140625,996.2999877929688,Profit,-2.45001220703125,8,4,4,50.0
2023-07-21,1195.0999755859375,1199.5,1186.2999267578125,1143.199951171875,Profit,-51.9000244140625,9,5,4,55.55555555555556
