Entry_Date,Entry,Stop_Loss,Target,Eighth_Day_Close,Trade_Result,Profit_or_Loss_Amount,Total Trades,Profitable Trades,Loss Trades,Win Percentage
2019-01-02,2692.0,2720.0,2636.0,2658.550048828125,Profit,-33.449951171875,1,1,0,100.0
2019-09-17,2773.14990234375,2874.800048828125,2569.849609375,2929.25,Loss,156.10009765625,2,1,1,50.0
2020-11-02,2843.699951171875,2918.0,2695.099853515625,2949.300048828125,Loss,105.60009765625,3,1,2,33.33333333333333
2021-10-12,3978.75,3860.0,4216.25,3915.949951171875,Loss,-62.800048828125,4,1,3,25.0
2023-05-08,4549.25,4475.0,4697.75,4547.89990234375,Loss,-1.35009765625,5,1,4,20.0
2023-07-31,4931.39990234375,4895.5,5003.19970703125,4826.2998046875,Loss,-105.10009765625,6,1,5,16.666666666666664
