Entry_Date,Entry,Stop_Loss,Target,Eighth_Day_Close,Trade_Result,Profit_or_Loss_Amount,Total Trades,Profitable Trades,Loss Trades,Win Percentage
2018-01-08,265.6000061035156,264.0,268.8000183105469,269.79998779296875,Profit,4.199981689453125,1,1,0,100.0
2019-07-19,268.29998779296875,274.1000061035156,256.699951171875,270.8500061035156,Loss,2.550018310546875,2,1,1,50.0
2019-09-12,240.75,244.3000030517578,233.64999389648438,237.1999969482422,Profit,-3.5500030517578125,3,2,1,66.66666666666666
2021-02-26,203.85000610351562,207.25,197.05001831054688,209.9499969482422,Loss,6.0999908447265625,4,2,2,50.0
2022-07-20,298.20001220703125,294.8999938964844,304.800048828125,301.1000061035156,Profit,2.899993896484375,5,3,2,60.0
2022-11-21,337.20001220703125,339.1000061035156,333.4000244140625,340.75,Loss,3.54998779296875,6,3,3,50.0
2023-06-09,438.45001220703125,435.1499938964844,445.050048828125,444.5,Loss,6.04998779296875,7,3,4,42.857142857142854
2023-08-02,460.1000061035156,464.6000061035156,451.1000061035156,454.8999938964844,Profit,-5.20001220703125,8,4,4,50.0
